IDPotion,NomPotion,TemperaturePotion,PrixPotion,IDDiluant,,
2,Huile de bénédiction d'arme,95,230,3,,
3,Huile de gourdin magique,36,320,1,,
7,Potion d'aide,41,200,3,,
13,Potion de flou,2,80,2,,
15,Potion de grâce féline,14,150,4,,
16,Potion de lévitation,30,130,3,,
25,Potion de protection contre les projectiles,9,270,4,,
31,Potion de ruse du renard,29,180,2,,
35,Potion de soins légers,43,220,1,,
40,Potion d'endurance de l'ours,1,100,3,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
